"149924","801 17th St NW,  Washington,  DC,  20006-3912","Match","Exact","801 17TH ST NW, WASHINGTON, DC, 20006","-77.039444,38.9003","76225666","R"
"149923","1875 Pennsylvania Ave NW,  Washington,  DC,  20006-3642","Match","Exact","1875 PENNSYLVANIA AVE NW, WASHINGTON, DC, 20006","-77.0433,38.90015","76240492","R"
"149926","1900 K St NWDechert Llp,  Washington,  DC,  20006-1110","Match","Non_Exact","1900 K ST NW, WASHINGTON, DC, 20006","-77.04358,38.90252","76225387","L"
"149925","1090 K Street Northwest,  Washington,  DC,  20001","Match","Exact","1090 K ST NW, WASHINGTON, DC, 20001","-77.026886,38.90252","76226152","L"
"149920","1919 Pennsylvania Ave NW Ste 800,  Washington,  DC,  20006-3401","Match","Exact","1919 PENNSYLVANIA AVE NW, WASHINGTON, DC, 20006","-77.04379,38.900326","76225391","R"
"149922","1825 I St NW,  Washington,  DC,  20006-5403","Match","Exact","1825 I ST NW, WASHINGTON, DC, 20006","-77.0422,38.90134","76225644","R"
"149921","1700 K Street N West,  Washington,  DC,  20006","Match","Non_Exact","1700 K ST NW, WASHINGTON, DC, 20006","-77.03858,38.90252","76225664","L"
"149928","900 16th St NW,  Washington,  DC,  20006-2901","Match","Exact","900 16TH ST NW, WASHINGTON, DC, 20006","-77.03655,38.90144","76225747","L"
"149927","2099 Pennsylvania Ave NW,  Washington,  DC,  20006-6800","Match","Exact","2099 PENNSYLVANIA AVE NW, WASHINGTON, DC, 20006","-77.04651,38.901276","76225370","R"
"149940","1299 Pennsylvania Ave NW,  Washington,  DC,  20004","Match","Exact","1299 PENNSYLVANIA AVE NW, WASHINGTON, DC, 20004","-77.02951,38.89542","76226311","R"
"149934","1909 K St NW Ste 600,  Washington,  DC,  20006-1167","No_Match"
"149937","1629 K St NW Ste 300,  Washington,  DC,  20006-1631","Match","Non_Exact","1629 K ST NW, WASHINGTON, DC, 20001","-77.03717,38.902534","76225668","R"
"149936","1899 Pennsylvania Ave NW Ste 600,  Washington,  DC,  20006-3602","Match","Exact","1899 PENNSYLVANIA AVE NW, WASHINGTON, DC, 20006","-77.04342,38.900192","76240492","R"
"149931","1999 K St NW,  Washington,  DC,  20006-1118","No_Match"
"149930","1050 Connecticut Ave NW Ste 1100,  Washington,  DC,  20036-5318","Match","Exact","1050 CONNECTICUT AVE NW, WASHINGTON, DC, 20036","-77.03968,38.903152","76225642","L"
"149933","1825 I St NW,  Washington,  DC,  20006-5403","Match","Exact","1825 I ST NW, WASHINGTON, DC, 20006","-77.0422,38.90134","76225644","R"
"149932","1700 K St NW Ste 200,  Washington,  DC,  20006-3828","Match","Exact","1700 K ST NW, WASHINGTON, DC, 20006","-77.03858,38.90252","76225664","L"
"149939","1875 Pennsylvania Avenue N West,  Washington,  DC,  20006","Match","Non_Exact","1875 PENNSYLVANIA AVE NW, WASHINGTON, DC, 20006","-77.0433,38.90015","76240492","R"
"149938","1629 K Street NYSuite 300,  Washington,  DC,  20006","No_Match"
"149951","801 17th St NW,  Washington,  DC,  20006-3912","Match","Exact","801 17TH ST NW, WASHINGTON, DC, 20006","-77.039444,38.9003","76225666","R"
"149950","900 16th St NW,  Washington,  DC,  20006-2901","Match","Exact","900 16TH ST NW, WASHINGTON, DC, 20006","-77.03655,38.90144","76225747","L"
"149945","1747 Pennsylvania Ave NWSte 1000,  Washington,  DC,  20006-4636","Match","Non_Exact","1747 PENNSYLVANIA AVE NW, WASHINGTON, DC, 20006","-77.04052,38.899193","76225654","R"
"149947","1050 Connecticut Avenue NW,  Washington,  DC,  20036-5339","Match","Exact","1050 CONNECTICUT AVE NW, WASHINGTON, DC, 20036","-77.03968,38.903152","76225642","L"
"149942","1601 K St NW,  Washington,  DC,  20006-1682","Match","Non_Exact","1601 K ST NW, WASHINGTON, DC, 20001","-77.0367,38.90253","76225668","R"
"149941","700 12th Street Northwest Suite 900,  Washington,  DC,  20005-3948","Match","Exact","700 12TH ST NW, WASHINGTON, DC, 20005","-77.02808,38.898438","76226159","L"
"149944","1050 Connecticut Avenue NW,  Washington,  DC,  20036-5339","Match","Exact","1050 CONNECTICUT AVE NW, WASHINGTON, DC, 20036","-77.03968,38.903152","76225642","L"
"149943","1700 Pennsylvania Ave NW Ste 200,  Washington,  DC,  20006-4707","Match","Exact","1700 PENNSYLVANIA AVE NW, WASHINGTON, DC, 20006","-77.03964,38.898872","76225654","L"
"149949","Mayer Brown Llp 11 Th Fl 1999 K St NW,  Washington,  DC,  20006","No_Match"
"149960","1801 K Street N West Suite 411,  Washington,  DC,  20006","No_Match"
"149840","1500 K St NW,  Washington,  DC,  20005-1209","Match","Exact","1500 K ST NW, WASHINGTON, DC, 20005","-77.03474,38.90252","76225749","L"
"149962","1900 K St NW,  Washington,  DC,  20006-1110","Match","Exact","1900 K ST NW, WASHINGTON, DC, 20006","-77.04358,38.90252","76225387","L"
"149841","Onethomas Circle NWSuite 1100,  Washington,  DC,  20005","No_Match"
"149961","1625 K St NW Ste 200Nftc,  Washington,  DC,  20006-1671","Match","Non_Exact","1625 K ST NW, WASHINGTON, DC, 20001","-77.0371,38.902534","76225668","R"
"149957","1909 K Street NWSuite 500,  Washington,  DC,  20006","No_Match"
"149836","725 12 Th St NW,  Washington,  DC,  20005-3901","Match","Non_Exact","725 12TH ST NW, WASHINGTON, DC, 20005","-77.028076,38.898743","76226159","R"
"149956","1629 K St NW Ste 300,  Washington,  DC,  20006-1631","Match","Non_Exact","1629 K ST NW, WASHINGTON, DC, 20001","-77.03717,38.902534","76225668","R"
"149837","1325 G St NW Ste 500,  Washington,  DC,  20005-3136","Match","Exact","1325 G ST NW, WASHINGTON, DC, 20005","-77.03029,38.89832","76225885","R"
"149959","888 17th Street N West Suite 1100,  Washington,  DC,  20006","Match","Non_Exact","888 17TH ST NW, WASHINGTON, DC, 20006","-77.03945,38.901154","76225666","L"
"149838","1501 K St NW,  Washington,  DC,  20005-1401","Match","Non_Exact","1501 K ST NW, WASHINGTON, DC, 20001","-77.03474,38.90253","76225749","R"
"149958","1801 K Street N West Suite 411,  Washington,  DC,  20006","No_Match"
"149953","600 New Hampshire Ave NW,  Washington,  DC,  20037-2403","Match","Non_Exact","600 NEW HAMPSHIRE AVE NW, WASHINGTON, DC, 20037","-77.054825,38.89746","76237496","R"
"149955","1666 K Northwest,  Washington,  DC,  20006","Match","Non_Exact","1666 K ST NW, WASHINGTON, DC, 20006","-77.03781,38.90252","76225668","L"
"149954","1601 K St NW,  Washington,  DC,  20006-1682","Match","Non_Exact","1601 K ST NW, WASHINGTON, DC, 20001","-77.0367,38.90253","76225668","R"
"149839","1200 G St NW Ste 300,  Washington,  DC,  20005-3833","Match","Exact","1200 G ST NW, WASHINGTON, DC, 20005","-77.0282,38.898308","76226303","L"
"150318","1701 Northwest Pennsylvania Avenue,  Washington,  DC,  20006","No_Match"
